source,role,vibe,title,company,salary_min_usd,salary_max_usd,location,url
remoteok,Support,0,Customer Support & Success Specialist,Warehance,50000,70000,Remote,https://remoteOK.com/remote-jobs/remote-customer-support-success-specialist-warehance-1137302
remoteok,Sales / SDR,0,Regional Sales Manager,OrderYOYO,0,0,Remote,https://remoteOK.com/remote-jobs/remote-regional-sales-manager-orderyoyo-1137279
remoteok,Engineering,0,AI Engineer Data APIs,Benzinga,0,0,Remote,https://remoteOK.com/remote-jobs/remote-ai-engineer-data-apis-benzinga-1137224
remoteok,Unknown,0,Programmatic Campaign Operations Specialist Trader,VirtuHire,0,0,Remote,https://remoteOK.com/remote-jobs/remote-programmatic-campaign-operations-specialist-trader-virtuhire-1137169
remoteok,Engineering,0,Principal Engineer,The AI Whistleblower Initiative,0,0,Remote,https://remoteOK.com/remote-jobs/remote-principal-engineer-the-ai-whistleblower-initiative-1137162
remoteok,Design (UI/UX),0,Senior Level Designer,Blackbird Interactive,0,0,"Vancouver, BC, Canada",https://remoteOK.com/remote-jobs/remote-senior-level-designer-blackbird-interactive-1137156
remoteok,Unknown,0,Oracle Fusion Cloud Lead â Logistics & Supply Chain Management,Tessera Labs,30,36,Remote,https://remoteOK.com/remote-jobs/remote-oracle-fusion-cloud-lead-logistics-supply-chain-management-tessera-labs-1137155
remoteok,Design (UI/UX),0,Course Director UX UI and AI,Interaction Design Foundation,10000,750000,Remote,https://remoteOK.com/remote-jobs/remote-course-director-ux-ui-and-ai-interaction-design-foundation-1137139
remoteok,Design (UI/UX),0,Education Designer UX UI and AI,Interaction Design Foundation,10000,750000,Remote,https://remoteOK.com/remote-jobs/remote-education-designer-ux-ui-and-ai-interaction-design-foundation-1137138
remoteok,Design (UI/UX),0,Course Writer and Editor UX UI and AI,Interaction Design Foundation,10000,750000,Remote,https://remoteOK.com/remote-jobs/remote-course-writer-and-editor-ux-ui-and-ai-interaction-design-foundation-1137136
remoteok,Unknown,0,Renewables Project Scheduler,Transportation Partners &amp; Logistics,0,0,"Black Bess, ",https://remoteOK.com/remote-jobs/remote-renewables-project-scheduler-transportation-partners-amp-logistics-1137194
remoteok,Design (UI/UX),0,Senior Backend Engineer Build AI Agents,Salesforge,0,0,Remote,https://remoteOK.com/remote-jobs/remote-senior-backend-engineer-build-ai-agents-salesforge-1137114
remoteok,Unknown,0,Senior Specialist Global QMS,Orca Bio,0,0,Remote,https://remoteOK.com/remote-jobs/remote-senior-specialist-global-qms-orca-bio-1137072
remoteok,Unknown,0,DESARROLLADOR FULL STACK,Kruger NearShore LLC - Rekluti,0,0,Remote,https://remoteOK.com/remote-jobs/remote-desarrollador-full-stack-kruger-nearshore-llc-rekluti-1137062
remoteok,Engineering,0,Consultant Implementation Engineer,Harbor,0,0,Remote,https://remoteOK.com/remote-jobs/remote-consultant-implementation-engineer-harbor-1136987
remoteok,Marketing,0,Marketing Operations Specialist,Engine,0,0,Remote - US,https://remoteOK.com/remote-jobs/remote-marketing-operations-specialist-engine-1136950
remoteok,Unknown,0,Team Lead Education,Chaos,0,0,Remote,https://remoteOK.com/remote-jobs/remote-team-lead-education-chaos-1136949
remoteok,AI / Vibe Dev,1,Digital Workplace & Automation Specialist,Dreem Health,0,0,United States,https://remoteOK.com/remote-jobs/remote-digital-workplace-automation-specialist-dreem-health-1136948
remoteok,Unknown,0,Solutions Delivery Manager,Benchling,150000,200000,Boston,https://remoteOK.com/remote-jobs/remote-solutions-delivery-manager-benchling-1136937
remoteok,Unknown,0,Hotline Paralegal,Legal Services NYC,0,0,LSNYC Central Office,https://remoteOK.com/remote-jobs/remote-hotline-paralegal-legal-services-nyc-1136861
remoteok,Cybersecurity,0,Senior Contracts and Budget Associate,Precision Medicine Group,0,0,South Korea,https://remoteOK.com/remote-jobs/remote-senior-contracts-and-budget-associate-precision-medicine-group-1136844
remoteok,Design (UI/UX),0,Lead Product Designer,HighLevel,0,0,India,https://remoteOK.com/remote-jobs/remote-lead-product-designer-highlevel-1136841
remoteok,Engineering,0,Member of Technical Staff Engineering,Physical Superintelligence,0,0,Boston,https://remoteOK.com/remote-jobs/remote-member-of-technical-staff-engineering-physical-superintelligence-1136798
remoteok,Unknown,0,Strategic Account Executive Lodging,FreedomPay,0,0,Select USA Remote Locations,https://remoteOK.com/remote-jobs/remote-strategic-account-executive-lodging-freedompay-1136797
remoteok,Engineering,0,Staff Software Development Engineer SDM,Delinea,150000,185000,Redwood City,https://remoteOK.com/remote-jobs/remote-staff-software-development-engineer-sdm-delinea-1136796
